ticker	cik
panw	1327567
emr	32604
wbk	719245
dg	29534
bidu	1329099
snps	883241
msci	1408198
idxx	874716
exc	1109357
met	1099219
tel	1385157
eog	821189
spg	1063761
cm	1045520
iqv	1478242
cdns	813672
crwd	1535527
vmw	1124610
rop	882835
kdp	1418135
twlo	1447669
algn	1097149
vrtx	875320
cnq	1017413
cvna	1690820
aph	820313
u	1810806
mar	1048286
bk	1390777
docu	1261333
zs	1713683
e	1002242
hmc	715153
dlr	1297996
carr	1783180
mraay	1450468
ngg	1004315
epd	1061219
wit	1123799
cmg	1058090
trp	1232384
a	1090872
vnja	1532383
cpng	1834584
ebay	1065088
bce	718940
spot	1639920
atvi	718877
trow	1113169
scco	1001838
aig	5272
tt	1466258
orly	898173
abev	1565025
ctas	723254
mnst	865752
puk	1116578
xpev	1810997
nem	1164727
kmb	55785
lyg	1160106
stm	932787
smfg	1022837
pxd	1038357
bsbr	1471055
stz	16918
aptv	1521332
kkr	1404912
dell	1571996
veev	1393052
gld	1222333
msi	68505
payx	723531
lhx	202058
hpq	47217
tak	1395064
rsg	1060391
bcs	312069
cnc	1071739
expgy	1376891
odfl	878927
ctsh	1058290
khc	1637459
dow	1751788
vod	839923
aep	4904
pru	1137774
slb	87347
mpc	1510295
mtch	891103
dd	1666700
azo	866787
alc	1167379
rok	1024478
ph	76334
rost	745732
pltr	1321655
wba	1618921
itub	1132597
crh	849395
isrg	1035267
danoy	1048515
ntr	1725964
hubs	1404655
gis	40704
bbd	1160330
hlt	1585689
sbac	1034054
sivb	719739
bax	10456
frc	1132979
su	311337
rmd	943819
trv	86312
afl	4977
hsy	47111
sre	1032208
yum	1041061
ppg	79879
vrsk	1442145
syy	96021
ea	712515
keys	1601046
biib	875045
iff	51253
bbva	842180
mtd	1037646
clpby	1294325
efx	33185
gpn	1123360
dhi	882184
twtr	1418091
kmi	1506307
mfc	1086888
etsy	1370637
wcn	1318220
adm	7084
otis	1781335
mck	927653
cprt	900075
epam	1352010
xel	72903
anss	1013462
codyy	1012037
ferg	1832433
fast	815556
enph	1463101
gold	756894
afrm	1820953
amp	820027
ndaq	1120193
avb	915912
eric	717826
sauhy	1451279
well	766704
app	1751008
ctva	1755672
dfs	1393612
okta	1660134
bf-a	14693
wst	105770
iau	1278680
all	899051
wmb	107263
len	920760
cbre	1138118
phg	313216
nwg	844150
bgne	1651308
eqr	906107
ajg	354190
nok	924613
nue	73309
tdg	1260221
li	1791706
glw	24741
peg	788784
ame	1037868
zbra	877212
awk	1410636
cht	1132924
alb	915913
slf	1097362
kr	56873
dltr	935703
mdb	1441816
stt	93751
tu	868675
arzgy	1379235
rkt	1805284
ibkr	1381197
bll	9389
cmi	26172
mplx	1552000
psx	1534701
mfg	1335730
roku	1428439
skm	1015650
hcmly	948696
fitb	35527
are	1035443
lbrda	1611983
lyb	1489393
wltw	1140536
sgen	1060736
tscdy	885834
pcar	75362
tsn	100493
lgfry	1554394
umc	1033767
oran	1038143
dvn	1090012
es	72741
swk	93556
wy	106535
vfc	103379
cabhf	1436647
dia	1041130
lh	920148
mt	1243429
tlk	1001807
ed	1047862
chwy	1766502
oxy	797468
mdy	936958
wec	783325
vlo	1035002
lvs	1300514
vrsn	1014473
gwlif	850918
pcg	1004980
it	749251
bby	764478
exr	1289490
oke	1039684
lng	3570
cdw	1402057
gnrc	1474735
ksu	54480
ec	1444406
payc	1590955
mgddy	896076
csx	277948
fnv	1456346
luv	92380
on	1097864
bill	1786352
rweoy	939380
zto	1677250
syf	1601712
tsco	916365
w	1616707
grmn	1121788
yndx	1513845
poahy	1450346
htht	1483994
pins	1506293
vmc	1396009
ter	97210
o	726728
mpwr	1280452
fmx	1061736
gmab	1434265
mlm	916076
gww	277135
swks	4127
ftv	1659166
siri	908937
zbh	1136869
bili	1723690
db	1159508
eix	827052
path	1734722
tef	814052
rnecy	1246135
uri	1067701
ir	1699150
imo	49938
wegzy	1445166
bkr	1701605
zi	1794515
rprx	1802768
ckhuy	1637120
ntrs	73124
abc	1140859
cve	1475260
beke	1809587
expe	1324424
maa	912595
hig	874766
dov	29905
stx	1137789
ttm	926042
baesy	895564
lyv	1335258
caj	16988
hznp	1492426
dal	27904
kmx	1170010
hes	4447
avtr	1722482
invh	1687229
mkc	63754
mchp	827054
et	1276187
ppery	1461748
ix	1070304
mga	749098
plug	1093691
rci	733099
ccep	1650107
bio	12208
hrl	48465
cs	1159510
cnhi	1567094
tw	1758730
wmg	1319161
pool	945841
ess	920522
chd	313927
hban	49196
ctlt	1596783
rf	1281761
dre	783280
ste	1757898
key	91576
anyyy	1700171
xyl	1524472
alny	1178670
ryaay	1038683
trmb	864749
ppl	922224
tru	1552033
ulta	1403568
cern	804753
tyl	860731
sui	912593
yumc	1673358
dte	936340
caixy	1535628
ccl	815097
aee	1002910
k	55067
zshgy	1495686
gib	1061574
expd	746515
fe	1031296
cqp	1383650
pki	31791
dpz	1286681
fts	1666175
foxa	1754301
clx	21076
wat	1000697
jbht	728535
viac	813828
cfg	759944
etr	65984
splk	1353283
ntap	1002047
entg	1101302
rng	1384905
br	1383312
ssnc	1402436
burl	1579298
mgm	789570
cg	1527166
tdy	1094285
fang	1539838
imbby	1072670
ttwo	946581
hal	45012
car	723612
holx	859737
podd	1145197
brtx	1505497
nvr	906163
mtb	36270
wpm	1323404
ui	1511737
czr	1590895
cuk	1125259
hpe	1645590
pfg	1126328
schyy	1491703
j	52988
coo	711404
gpc	40987
nice	1003935
akam	1086222
crl	1100682
snmry	1437771
tech	842023
cinf	20286
bro	79282
lsxma	1560385
hcp	1720671
sbny	1288784
dgx	1022079
dri	940944
hei	46619
ip	51434
dt	1773383
rcl	884887
fds	1013237
tcom	1269238
wdc	106040
peak	765880
fms	1333141
vtr	740260
amcr	1748790
amc	1411579
jhx	1159152
kb	1445930
flt	1175454
qsr	1618756
nuan	1002517
iex	832101
ce	1306830
sedg	1419612
cms	811156
avy	8818
asan	1477720
ally	40729
lkq	1065696
udr	74208
bxp	1037540
bip	1406234
wab	943452
mas	62996
wpp	806968
moh	1179929
pkx	889132
txg	1770787
xm	1747748
ppd	1793294
dish	1001082
qrvo	1604778
apo	1411494
mkl	1096343
aci	1646972
sqm	909037
rol	84839
ben	38777
cday	1725057
acgl	947484
clr	732834
mmex	1440799
pba	1546066
prdsy	1527249
cpt	906345
xp	1787425
txt	217346
pubgy	1050952
ptaiy	1455967
pwr	1050915
bmrn	1048477
upst	1647639
asx	1122411
rgen	730272
lu	1816007
ath	1527469
gdrx	1809519
agr	1634997
tdoc	1477449
aes	874761
mndy	1845338
rkuny	1294591
nvax	1000694
masi	937556
trex	1069878
lbtya	1570585
chkp	1015922
shg	1263043
atasy	1437775
els	895417
vtrs	1792044
viv	1066119
incy	879169
cag	23217
ndsn	72331
exas	1124140
wsm	719955
vici	1705696
evrg	1711269
abmd	815094
omc	29989
sjr	932872
argx	1697862
elp	1041792
aap	1158449
coup	1385867
nlok	849399
bldr	1316835
iclr	1060955
cnp	1130310
tsgty	939383
cck	1219601
emn	915389
clvt	1764046
fnf	1331875
teck	886986
snn	845982
l	60086
oaofy	1058255
estc	1707753
tfx	96943
gme	1326380
fbhs	1519751
uhal	4457
vivhy	1127055
lnt	352541
cboe	1374310
sofi	1818874
pcty	1591698
sjm	91419
dkng	1772757
ual	100517
whr	106640
cgnx	851205
lumn	18926
ffiv	1048695
wrb	11544
elan	1739104
wpc	1025378
fnd	1507079
rjf	720005
eqh	1333986
logi	1032975
cah	721371
mktx	1278021
suz	909327
lyft	1759509
mtn	812011
grub	1792627
has	46080
morn	1289419
enia	912505
zg	1617640
bsy	1031308
bntgy	1533945
alsmy	1062066
ares	1176948
phm	822416
pton	1639825
irm	1020569
sbhmy	1604982
ipg	51644
cf	1324404
mos	1285785
otex	1002638
amh	1562401
fmc	37785
cxo	1358071
nmr	1163653
ptc	857005
bz	1842827
sc	1580608
iep	813762
aos	91142
chrw	1043277
pbcry	1463157
stld	1022671
lnc	59558
gfl	1780232
lpla	1397911
qgen	1015820
rhi	315213
mpw	1287865
nwsa	1564708
ldos	1336920
pkg	75677
kkpny	1001474
ggg	42888
lnvgy	932477
brkr	1109354
rh	1528849
cpb	16732
bg	1144519
pnr	77360
aem	2809
hwm	4281
ftch	1740915
mro	101778
tme	1744676
zen	1463172
jll	1037976
avlr	1348036
wlk	1262823
frfhf	915191
iac	1800227
mrvi	1823239
trgp	1389170
ato	731802
remyy	1552653
gddy	1609711
rpm	110621
reg	910606
emraf	1127248
csl	790051
kkoyy	1436794
psmmy	1439580
qs	1811414
mhk	851968
lii	1069202
ts	1190723
jxhly	1487533
wtrg	78128
cma	28412
jpxgy	1600520
wrk	1732845
wso	105016
five	1177609
kep	887225
afg	1042046
bah	1443646
wal	1212545
aal	6201
cna	21175
nly	1043219
lnegy	1437041
swmay	1011218
deck	910521
cchgy	1558633
slvyy	930826
jkhy	779152
uwmc	1783398
ach	1161611
bki	1627014
tpr	1116132
znh	1041668
icl	941221
sna	91440
alle	1579241
sci	89089
ihg	858446
hst	1070750
mcfe	1783317
lamr	1090425
dar	916540
fslr	1274494
disca	1437107
cone	1553023
ewbc	1069157
glob	1557860
axon	1069183
cube	1298675
pcor	1611052
ttc	737758
dqjcy	1446597
docn	1582961
kof	910631
crox	1334036
cabo	1632127
site	1650729
kl	1713443
xray	818479
gh	1576280
hubb	48898
gds	1526125
dks	1089063
glpi	1575965
bwa	908255
lscc	855658
rdy	1135951
hrc	47518
zion	109380
mmp	1126975
fico	814547
ssl	314590
ivz	914208
re	1095073
ndvly	800928
lsi	944314
hsic	1000228
cacc	885550
levi	94845
jnpr	1043604
acm	868857
clf	764065
gfi	1172724
aseky	1450206
uhs	352915
lea	842162
dva	927066
ttek	831641
bep	1533232
synh	1610950
ctxs	877890
an	350698
wfg	1402388
syna	817720
manh	1056696
azpn	929940
monoy	1583055
ua	1336917
prymy	1437672
apa	1841666
kim	879101
midd	769520
erie	922621
grfs	1438569
nvcr	1645113
tap	24545
gwre	1528396
aemmy	1437776
dbx	1467623
ni	1111711
bch	1161125
vst	1692819
knx	1492691
fivn	1288847
mdiby	1379481
frt	34903
see	1012100
dava	1656081
tfii	1588823
uelmo	100826
rs	861884
anet	1596532
wynn	1174922
bap	1001290
rexr	1571283
run	1469367
glbe	1835963
tpl	1811074
aeg	769218
pega	1013857
cien	936395
cp	16875
tixt	1825155
bery	1378992
jef	96223
cms-pb	201533
sbysf	1783546
sbsw	1786909
ccj	1009001
aiz	1267238
open	1801169
wb	1595761
nwl	814453
ebr	1439124
teva	818686
ptbry	1504122
ovv	1792580
bj	1531152
cx	1076378
wsc	1647088
g	1398659
vrt	1674101
y	775368
cea	1030475
cpri	1530721
cvac	1809122
arw	7536
pen	1321732
arcc	1287750
wms	1604028
bld	1633931
gl	320335
dox	1062579
stor	1538990
fhn	36966
m	794367
lad	1023128
oc	1370946
nrg	1013871
st	1477294
ipgp	1111928
mxchy	1435969
slab	1038074
pstg	1474432
au	1067428
saia	1177702
dseey	1481045
jbl	898293
aa	1675149
oln	74303
cnxc	1803599
agl	1831097
chdn	20212
wix	1576789
ugi	884614
bhc	885590
flex	866374
rl	1037038
seic	350894
uthr	1082554
tsp	1823593
armk	1584509
fsv	1637810
dlb	1308547
ozon	1822829
tpx	1206264
alv	1034670
mksi	1049502
pags	1712807
ggmc	1818880
oukpy	1436786
bsac	1027552
zayo	1608249
phys	1477049
gntx	355811
agco	880266
bsmx	1698287
aqn	1174169
bmrry	1671235
cold	1455863
dnb	1799208
evo	1412558
cbsh	22356
fybr	20520
egp	49600
itt	216228
faf	1472787
gbtc	1588489
xpo	1166003
smg	825542
gil	1061894
pag	1019849
tndm	1438133
ntra	1604821
yeti	1670592
leco	59527
agnc	1423689
h	1468174
kss	885639
penn	921738
smar	1366561
cfr	39263
chh	1046311
airc	1820877
wes	1423902
nyt	71691
tol	794170
nbix	914475
psxp	1572910
atr	896622
ntla	1652130
cib	1071371
chpt	1777393
fr	921825
thc	70318
fcnca	798941
nnn	751364
glpey	1385535
ggb	1073404
wf	1264136
vno	899689
rnr	913144
omcl	926326
dxc	1688568
pvh	78239
lw	1679273
voya	1535929
krc	1025996
kgc	701818
mp	1801368
bfam	1437578
tx	1342874
sf	720672
hli	1302215
rba	1046102
hllgy	1674534
medp	1668397
coty	1024305
osh	1564406
hta	1360604
wh	1722684
che	19584
mat	63276
osk	775158
foxf	1424929
asnd	1612042
jhg	1274173
cor	1490892
cwen	1567683
pnw	764622
lfus	889331
aer	1378789
bc	14930
bhvn	1689813
ori	74260
edr	1766363
miufy	1447113
arwr	879407
atus	1702780
pnfp	1115055
phi	78150
nclh	1513761
pbct	1378946
slv	1330568
ayi	1144215
stwd	1465128
bokf	875357
casy	726958
krnt	1625791
hii	1501585
acc	1283630
ffin	36029
dci	29644
amg	1004434
plnt	1637207
newr	1448056
cae	1173382
axta	1616862
jsgry	1442656
bak	1071438
pltk	1828016
mrtx	1576263
mstr	1050446
hun	1307954
csan	1430162
pegry	1455633
slfpy	1370418
ntnx	1618732
pe	1594466
isday	1224306
hnp	929058
legn	1801198
usfd	1665918
skx	1065837
futu	1754581
wk	1445305
lpx	60519
stag	1479094
mbt	1115837
adt	1703056
negg	1474627
bncdy	1667075
oge	1021635
ksryy	1668501
nlsn	1492633
mtz	15615
pii	931015
ppc	802481
rpd	1560327
jazz	1232524
dsgx	1050140
cybr	1598110
brx	1581068
azek	1782754
oled	1005284
snv	18349
paa	1070423
omf	1584207
wwd	108312
pb	1068851
vips	1529192
lspd	1823306
furcf	1559444
dooo	1748797
ccoey	1551467
rcm	1472595
tnet	937098
swch	1710583
lite	1633978
byd	906553
rgld	85535
iivi	820318
zlab	1704292
asgn	890564
znga	1439404
ohi	888491
eme	105634
exp	918646
eslt	1027664
ntco	1776967
vac	1524358
amba	1280263
iaa	1745041
colm	1050797
wu	1365135
lstr	853816
rga	898174
curlf	1756770
rlx	1828365
nep	1603145
srpt	873303
nxst	1142417
inov	1619954
bl	1666134
gwr	1012620
bepc	1791863
asai	1834048
zim	1654126
wts	795403
cohr	21510
gtls	892553
fsr	1720990
bmbl	1830043
swav	1642545
pso	938323
cfx	1420800
ubsfy	1446702
qdel	353569
chng	1756497
bpop	763901
gmed	1237831
vicr	751978
gps	39911
vir	1706431
ingr	1046257
nvst	1757073
wcc	929008
kbr	1357615
post	1530950
cbl	910612
plan	1540755
pmcb	1157075
vvv	1674910
iipr	1677576
sgms	750004
ash	1674862
spt	1517375
reyn	1786431
caci	16058
lpl	1290109
x	1163302
insp	1609550
expo	851520
powi	833640
gpk	1408075
crsp	1674416
bbio	1743881
alk	766421
shc	1822479
pac	1347557
stn	1131383
kt	892450
aval	1504764
cigi	913353
fsk	1422183
algm	866291
timb	1826168
vlpny	1378984
hele	916789
ncno	1566895
tho	730263
ozk	1569650
son	91767
nvt	1720635
chk	895126
pri	1475922
txrh	1289460
dei	1364250
novt	1076930
ehc	785161
woof	1826470
uso	1327068
arvl	1835059
wex	1309108
evr	1360901
hayw	1834622
esi	1590714
gt	42582
hbi	1359841
hog	793952
cr	25445
sitm	1451809
mgp	1656936
lysdy	1444327
msa	66570
cuz	25232
bpmc	1597264
hlne	1433642
slm	1032033
nycb	910073
dnli	1714899
altr	1701732
smtc	88941
rrr	1653653
ssb	764038
lazr	1758057
igt	1619762
clh	822818
crct	1828962
sam	949870
ar	1433270
rvlv	1746618
vrns	1361113
dcp	1338065
asr	1123452
mdu	67716
orcc	1655888
flo	1128928
nati	935494
vly	714310
dds	28917
eqt	33213
iart	917520
pfgc	1618673
aqua	1604643
bb	1070235
amn	1142750
si	1312109
paas	771992
leg	58492
coke	317540
snx	1177394
eeft	1029199
virt	1592386
expi	1495932
pacw	1102112
figs	1846576
vnt	1786842
trno	1476150
sid	1049659
mituy	1446420
ida	1057877
ameh	1083446
nfg	70145
amkr	1047127
exel	939767
ryn	52827
hfc	48039
tenb	1660280
mime	1644675
appn	1441683
gbci	868671
srcl	861878
vg	1272830
bcpc	9326
drvn	1804745
fate	1434316
ufpi	912767
cw	26324
nfe	1749723
irdm	1418819
abcm	1492074
src	1308606
sig	832988
tv	912892
qlys	1107843
rog	84748
ncr	70866
anat	1801075
mara	1507605
vmi	102729
rare	1515673
fvrr	1762301
mxl	1288469
awi	7431
spsc	1092699
tfsl	1381668
hri	1364479
fcn	887936
hcm	1648257
achc	1520697
ab	825313
avnt	1122976
ssd	920371
pdce	77877
jbt	1433660
atkr	1666138
shi	908732
tkr	98362
wtfc	1015328
ely	837465
roll	1324948
celh	1341766
nrz	1556593
apps	317788
beam	1745999
esgr	1363829
spwr	867773
trup	1371285
mtsi	1493594
pacb	1299130
gshd	1726978
iq	1722608
ttd	1671933
cc	1627223
grp-un	1564538
prgo	1585364
goos	1690511
slg	1040971
man	871763
rrc	315852
wbs	801337
migi	1218683
saic	1571123
cit	1171825
umbf	101382
sail	1627857
adrzy	1436467
angi	1705110
fizz	69891
dv	1819928
stne	1745431
lthm	1742924
psb	866368
icui	883984
tmx	1428875
stl	1070154
mtg	876437
wing	1636222
tdc	816761
diod	29002
knsl	1669162
be	1664703
fl	850209
unm	5513
fsly	1517413
kod	1468748
cdk	1609702
nsa	1618563
upwk	1627475
atc	1762459
esnt	1448893
lac	1440972
halo	1159036
shls	1831651
mlco	1381640
apg	1796209
gtes	1718512
frpt	1611647
twst	1581280
musa	1573516
seas	1564902
nov	1021860
rli	84246
mms	1032220
am	1623925
al	1487712
amrc	1488139
onto	704532
ubsi	729986
crus	772406
nea	1195737
mtdr	1520006
wynmy	1480134
slgn	849869
hqy	1428336
swi	1739942
wen	30697
opch	1014739
imab	1778016
amed	896262
bwxt	1486957
sigi	230557
seb	88121
pinc	1577916
prft	1085869
qtwo	1410384
hhc	1498828
tlry	1731348
bldp	1453015
ocdx	1828443
hiw	921082
pgny	1551306
shlx	1610466
chffy	1601994
laz	1311370
cixx	1829948
gtbif	1795139
focs	1651052
nsp	1000753
r	85961
hasi	1561894
staa	718937
wd	1497770
sqsp	1496963
mgy	1698990
ayx	1689923
cano	1800682
pzza	901491
shmay	1555379
cri	1060822
sky	90896
bynd	1655210
hr	899749
lxp	910108
bxmt	1061630
msm	1003078
unvr	1494319
carg	1494259
sum	1621563
thg	944695
sndr	1692063
por	784977
sfbs	1430723
tgna	39899
bcucy	1581285
cwst	911177
exls	1297989
aeo	919012
task	1829864
cns	1284812
evbg	1437352
neog	711377
hxl	717605
hrb	12659
adc	917251
spb	109177
athm	1527636
mth	833079
rhp	1040829
cig	1157557
pfsi	1745916
ay	1601072
jblu	1158463
tnl	1361658
pnm	1108426
rdfn	1382821
ora	1296445
nomd	1651717
dq	1477641
axs	1214816
four	1794669
calx	1406666
umpq	1077771
safm	812128
upchy	1447772
allk	1564824
ensg	1125376
nova	1772695
env	1337619
bhf	1685040
sstk	1549346
sdipf	1562040
etrn	1747009
appf	1433195
msgs	1636519
wns	1356570
he	354707
hwc	750577
btg	1429937
flyw	1580560
sbs	1170858
cert	1827090
zh	1835724
sxt	310142
aso	1817358
chx	1723089
nari	1531048
mur	717423
cgc	1737927
fele	38725
aaon	824142
fn	1408710
kwr	81362
den	945764
cour	1651562
hgv	1674168
dufry	1546354
abcl	1703057
hlf	1180262
mnso	1815846
olli	1639300
neo	1077183
dada	1793862
psth	1811882
bkh	1130464
lanc	57515
golf	1672013
nkla	1731289
tmhc	1562476
yy	1530238
ssrm	921638
adnt	1670541
bzzuy	1437774
spr	1364885
frhc	924805
vne	1733186
kfy	56679
cere	1805387
taipy	1716957
dsey	1831617
alrm	1459200
lesl	1821806
cwk	1628369
edu	1372920
ttec	1013880
chgg	1364954
kbh	795266
pk	1617406
hain	910406
rsi	1793659
shoo	913241
krtx	1771917
homb	1331520
livn	1639691
eye	1710155
fls	30625
rdn	890926
orryy	1641431
mac	912242
jobs	1295484
ccmp	1102934
cwh	1669779
dbrg	1679688
ful	39368
auy	1264089
cef	1726122
kc	1795589
spce	1706946
iijiy	1090633
lcii	763744
doc	1574540
lob	1462120
ostk	1130713
ibp	1580905
cbu	723188
sim	887153
tsem	928876
sun	1552275
knbe	1664998
cnmd	816956
swx	1692115
box	1372612
safe	1688852
jamf	1721947
sono	1314727
alsn	1411207
msp	1724570
trtn	1660734
sfrgy	1571549
rezi	1740332
ai	1577526
wwe	1091907
mc	1596967
ebc	1810546
nvg	1090116
dct	1160951
ions	874015
cmc	22444
fnb	37808
arvn	1655759
comp	1563190
bku	1504008
ait	109563
isbc	1594012
ago	1273813
blkb	1280058
sklz	1801661
hpp	1482512
vsbc	1697884
ppbi	1028918
cim	1409493
adpt	1478320
jbgs	1689796
bnl	1424182
cade	1299939
out	1579877
nvmi	1109345
lhcg	1303313
pch	1338749
olo	1431695
neu	1282637
sem	1320414
unf	717954
sana	1770121
bmch	1574815
avt	8858
ccoi	1158324
riot	1167419
lgih	1580670
klic	56978
boot	1610250
kmpr	860748
njr	356309
dorm	868780
brp	1781755
bbu	1654795
qfin	1741530
navi	1593538
apam	1517302
smpl	1702744
trip	1526520
matx	3453
jteky	1446661
gpi	1031203
xrx	1770450
lkncy	1767582
vzio	1835591
swtx	1773427
mmsi	856982
alks	1520262
gatx	40211
becn	1124941
nsit	932696
awr	1056903
pay	1841156
cd	1807192
ogs	1587732
epr	1045450
fix	1035983
aciw	935036
fhb	36377
sm	893538
aimc	1374535
egfey	1437178
flow	1641991
psn	275880
mdc	773141
nvta	1501134
abcb	351569
zntl	1725160
ads	1101215
apls	1492422
viav	912093
coop	933136
azihy	1533475
trox	1530804
aeis	927003
ajrd	40888
jwn	72333
lope	1434588
aple	1418121
crvl	874866
hi	1417398
ax	1299709
vnom	1602065
ifs	1615903
asb	7789
dnp	806628
caty	861842
wbt	1650962
atco	1794846
tal	1499620
fhi	1056288
nni	1258602
psec	1287032
arna	1080709
nad	1083839
qrtea	1355096
itci	1567514
bpxxy	1567024
acva	1637873
cwt	1035201
crc	1609253
form	1039399
me	1804591
hlio	1024795
boh	46195
pack	1712463
glpg	1421876
ael	1039828
tcnnf	1754195
tuya	1829118
enlc	1592000
bigc	1626450
lc	1409970
sitc	894315
eprt	1728951
ens	1289308
tigo	912958
rxrx	1601830
tbk	1539638
abg	1144980
insm	1104506
mli	89439
hypmy	1486749
sfnc	90498
tkc	1071321
ramp	733269
pjt	1626115
kex	56047
six	701374
sfm	1575515
bstz	1768666
flr	1124198
dan	26780
wtm	776867
urbn	912615
eaf	931148
enbl	1591763
reta	1358762
swim	1833197
eqc	803649
rcus	1724521
unit	1620280
irtc	1388658
ktb	1760965
vrnt	1166388
sr	1126956
pci	1558629
acad	1070494
wdfc	105132
nmrk	1690680
csgp	1057352
shak	1620533
sgfy	1828182
exg	1379438
wern	793074
ale	66756
kw	1408100
prg	1808834
meoh	886977
bco	78890
pdco	891024
tmbby	1531740
lmnd	1691421
main	1396440
enic	1659939
alhc	1832466
vsat	797721
cyrx	1124524
swn	7332
evtc	1559865
rmbs	917273
veon	1468091
nvro	1444380
abm	771497
cnx	1070412
agi	1178819
omi	75252
lgf-a	929351
ibtx	1564618
ag	1308648
ibrx	1326110
frog	1800667
trq	1158041
bmi	9092
cno	1224608
mntv	1739936
tph	1561680
ucbi	857855
cbt	16040
ccu	888746
lfst	1845257
cpa	1345105
hl	719413
pd	1568100
ftdr	1727263
rxt	1810019
vc	1111335
tex	97216
kmt	55242
bios	1856653
vsh	103730
arnc	1790982
gef	43920
lpro	1806201
rcii	933036
onb	707179
drna	1399529
inmd	1742692
phr	1412408
csq	1275214
aagh	1098009
jw-a	107140
wire	850460
cvlt	1169561
trn	99780
cbrl	1067294
atrc	1323885
zip	1617553
ofc	860546
ngvt	1653477
mlkn	66382
ulcc	1670076
dy	67215
fbp	1057706
iova	1425205
fold	1178879
tcbi	1077428
ddd	910638
algt	1362468
crnc	1768267
ghc	104889
goev	1750153
til	1789769
joe	745308
mcy	64996
cytk	1061983
brfs	1122491
hth	1265131
eva	1592057
nwe	73088
unfi	1020859
fcel	886128
itri	780571
semr	1831840
sbra	1492298
pbh	1295947
thrm	903129
vcyt	1384101
hhr	1721181
ipar	822663
go	1771515
rusha	1012019
whd	1699136
sdgr	1490978
bdc	913142
mant	892537
fubo	1484769
peb	1474098
mrcy	1049521
ihrt	1400891
tac	1144800
agti	1749704
cvco	278166
ttgt	1293282
rlay	1812364
kai	886346
flgt	1674930
ufs	1381531
cnne	1704720
opk	944809
